"","Intervention","X1.day","X2.days","X3.days","X4.days","X5.days"
"1","School","-0.084
(0.0746)","-0.0542
(0.0861)","-0.0313
(0.0929)","-0.00413
(0.102)","0.0425
(0.112)"
"2","Childcare","-0.0708
(0.0519)","-0.0949
(0.0533)","-0.112*
(0.0551)","-0.103
(0.0583)","-0.11
(0.0582)"
"3","Retail","0.0139
(0.0323)","0.0077
(0.0339)","0.0026
(0.036)","0.00991
(0.0383)","0.0106
(0.0395)"
"4","Restaurant","-0.04
(0.0327)","-0.0374
(0.0346)","-0.0388
(0.0361)","-0.037
(0.0379)","-0.0315
(0.0392)"
"5","Bar","-0.0322
(0.0367)","-0.0307
(0.0392)","-0.037
(0.041)","-0.0378
(0.0426)","-0.0324
(0.0436)"
"6","Entertainment","-0.0814*
(0.0369)","-0.0797*
(0.04)","-0.0838*
(0.0416)","-0.0836
(0.0433)","-0.0783
(0.045)"
"7","Culture","-0.021
(0.0351)","-0.0236
(0.0375)","-0.0241
(0.039)","-0.02
(0.0411)","-0.0109
(0.0428)"
"8","Religion","-0.0554
(0.0464)","-0.0696
(0.0493)","-0.0918
(0.0506)","-0.102
(0.0521)","-0.123*
(0.053)"
"9","Sports indoor","-0.0404
(0.0369)","-0.0299
(0.0397)","-0.0364
(0.041)","-0.0326
(0.043)","-0.028
(0.0447)"
