"","win7_stay_at_home","win7_school_close","win7_childcare_close","win7_shop_close","win7_restaurant_close","win7_bar_close","win7_entertainment_close","win7_cultural_close","win7_sports_indoor_close","win7_sports_outdoor_close","win7_gathering_outside_10lower","win7_gathering_outside_10over","win7_worship_close"
"win7_stay_at_home",1,-0.00954124426360911,0.250114404467297,0.367842051162122,0.369995489288972,0.375463100222331,0.462429753330896,0.527833376686883,0.559511134787746,0.240566167634818,0.309975756335738,0.0652020750364608,0.258844834506067
"win7_school_close",-0.00954124426360911,1,0.147590211679103,0.165717214909555,0.21375505662614,0.156967180814454,0.164178164700426,0.150938219209094,0.165539170348972,0.164723324471767,0.191040112636972,0.457231486762483,0.0759892798827415
"win7_childcare_close",0.250114404467297,0.147590211679103,1,0.540944160065778,0.299653714166958,0.249432541619319,0.313456823511175,0.364733620727131,0.298185181598167,0.247406212589332,0.14707709847427,0.243054183876503,0.434030606269991
"win7_shop_close",0.367842051162122,0.165717214909555,0.540944160065778,1,0.359053773485022,0.205448711954401,0.485062141616373,0.527853531504735,0.504830845463149,0.200878146040356,0.241067513844508,0.241420750101059,0.520729479438936
"win7_restaurant_close",0.369995489288972,0.21375505662614,0.299653714166958,0.359053773485022,1,0.659917378898673,0.552109521589527,0.57722114984705,0.552236638945314,-0.0490550524259732,0.338030950456454,0.306598626800393,0.316907627295429
"win7_bar_close",0.375463100222331,0.156967180814454,0.249432541619319,0.205448711954401,0.659917378898673,1,0.589348933951641,0.551599193571013,0.540320098247825,0.0331501416174389,0.444990132582066,0.242329641289228,0.264549715438388
"win7_entertainment_close",0.462429753330896,0.164178164700426,0.313456823511175,0.485062141616373,0.552109521589527,0.589348933951641,1,0.907312212815332,0.817646502872664,0.145361575027173,0.468670485956329,0.284343490365298,0.378911767987516
"win7_cultural_close",0.527833376686883,0.150938219209094,0.364733620727131,0.527853531504735,0.57722114984705,0.551599193571013,0.907312212815332,1,0.862727563116388,0.14342993314565,0.41871680190519,0.263918909538472,0.394321172424108
"win7_sports_indoor_close",0.559511134787746,0.165539170348972,0.298185181598167,0.504830845463149,0.552236638945314,0.540320098247825,0.817646502872664,0.862727563116388,1,0.127869119539179,0.368758990229473,0.288336656663065,0.363113206234104
"win7_sports_outdoor_close",0.240566167634818,0.164723324471767,0.247406212589332,0.200878146040356,-0.0490550524259732,0.0331501416174389,0.145361575027173,0.14342993314565,0.127869119539179,1,0.0606537128459682,0.167408506903022,0.276812997377859
"win7_gathering_outside_10lower",0.309975756335738,0.191040112636972,0.14707709847427,0.241067513844508,0.338030950456454,0.444990132582066,0.468670485956329,0.41871680190519,0.368758990229473,0.0606537128459682,1,0.417191798278472,0.28957859526419
"win7_gathering_outside_10over",0.0652020750364608,0.457231486762483,0.243054183876503,0.241420750101059,0.306598626800393,0.242329641289228,0.284343490365298,0.263918909538472,0.288336656663065,0.167408506903022,0.417191798278472,1,0.393530629657779
"win7_worship_close",0.258844834506067,0.0759892798827415,0.434030606269991,0.520729479438936,0.316907627295429,0.264549715438388,0.378911767987516,0.394321172424108,0.363113206234104,0.276812997377859,0.28957859526419,0.393530629657779,1
